,"age_(16.927, 41.333]","age_(41.333, 65.667]","age_(65.667, 90]","capital.gain_(-99.999, 33333]","capital.gain_(33333, 66666]","capital.gain_(66666, 99999]","capital.loss_(-4.356, 1452]","capital.loss_(1452, 2904]","capital.loss_(2904, 4356]","education.num_(0.985, 6]","education.num_(11, 16]","education.num_(6, 11]",education_10th,education_11th,education_12th,education_1st-4th,education_5th-6th,education_7th-8th,education_9th,education_Assoc-acdm,education_Assoc-voc,education_Bachelors,education_Doctorate,education_HS-grad,education_Masters,education_Preschool,education_Prof-school,education_Some-college,"fnlwgt_(10812.58, 503091.667]","fnlwgt_(503091.667, 993898.333]","fnlwgt_(993898.333, 1484705]","hours.per.week_(0.902, 33.667]","hours.per.week_(33.667, 66.333]","hours.per.week_(66.333, 99]",income==>50K,marital.status_Divorced,marital.status_Married-AF-spouse,marital.status_Married-civ-spouse,marital.status_Married-spouse-absent,marital.status_Never-married,marital.status_Separated,marital.status_Widowed,native.country_?,native.country_Cambodia,native.country_Canada,native.country_China,native.country_Columbia,native.country_Cuba,native.country_Dominican-Republic,native.country_Ecuador,native.country_El-Salvador,native.country_England,native.country_France,native.country_Germany,native.country_Greece,native.country_Guatemala,native.country_Haiti,native.country_Holand-Netherlands,native.country_Honduras,native.country_Hong,native.country_Hungary,native.country_India,native.country_Iran,native.country_Ireland,native.country_Italy,native.country_Jamaica,native.country_Japan,native.country_Laos,native.country_Mexico,native.country_Nicaragua,native.country_Outlying-US(Guam-USVI-etc),native.country_Peru,native.country_Philippines,native.country_Poland,native.country_Portugal,native.country_Puerto-Rico,native.country_Scotland,native.country_South,native.country_Taiwan,native.country_Thailand,native.country_Trinadad&Tobago,native.country_United-States,native.country_Vietnam,native.country_Yugoslavia,occupation_?,occupation_Adm-clerical,occupation_Armed-Forces,occupation_Craft-repair,occupation_Exec-managerial,occupation_Farming-fishing,occupation_Handlers-cleaners,occupation_Machine-op-inspct,occupation_Other-service,occupation_Priv-house-serv,occupation_Prof-specialty,occupation_Protective-serv,occupation_Sales,occupation_Tech-support,occupation_Transport-moving,race_Amer-Indian-Eskimo,race_Asian-Pac-Islander,race_Black,race_Other,race_White,relationship_Husband,relationship_Not-in-family,relationship_Other-relative,relationship_Own-child,relationship_Unmarried,relationship_Wife,sex==Male,workclass_?,workclass_Federal-gov,workclass_Local-gov,workclass_Never-worked,workclass_Private,workclass_Self-emp-inc,workclass_Self-emp-not-inc,workclass_State-gov,workclass_Without-pay
"fnlwgt_(993898.333, 1484705]",0.006450005553636104 (p=0.081),-0.005091367785820721 (p=0.168),-0.0038377637166534836 (p=0.299),0.0014306209296146882 (p=0.699),-0.00029305987695257905 (p=0.937),-0.0013999811101491329 (p=0.705),0.004289586850334972 (p=0.246),-0.004272347949630885 (p=0.248),-0.0003673925696256439 (p=0.921),-0.005942519265870808 (p=0.108),0.001208789533774457 (p=0.744),0.002248439724612538 (p=0.543),-0.003432531088200281 (p=0.353),-0.0038668780025960074 (p=0.295),-0.0023201262893937026 (p=0.530),-0.0014392577538430169 (p=0.697),-0.002031491276555932 (p=0.582),-0.002843337134916259 (p=0.442),-0.002531030576834892 (p=0.493),0.004956548387625488 (p=0.180),0.0034181030906421045 (p=0.355),0.0035749136291566568 (p=0.333),-0.0022652052968622784 (p=0.540),-0.0006332079469223699 (p=0.864),-0.004723990974182257 (p=0.201),-0.0007915641664814212 (p=0.830),-0.0026819309161930614 (p=0.468),0.004016252220268014 (p=0.277),-0.1887486514380317 (p=0.000),-0.002077225083009063 (p=0.574),0.9999999999999998 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"hours.per.week_(0.902, 33.667]",0.05169847173847463 (p=0.000),-0.12868712941994867 (p=0.000),0.19592989063483957 (p=0.000),0.017562788010409218 (p=0.000),0.02119424946585857 (p=0.000),-0.022400720308342413 (p=0.000),0.03765978229375666 (p=0.000),-0.03784765162474035 (p=0.000),0.0005480975104020377 (p=0.882),0.04445634441105149 (p=0.000),-0.09509908596178386 (p=0.000),0.06363787622297744 (p=0.000),0.04591759558617471 (p=0.000),0.1088022293047867 (p=0.000),0.04428267492184011 (p=0.000),0.010642229259947875 (p=0.004),-0.0022809186657143364 (p=0.537),0.01627080282773088 (p=0.000),0.009373326978981201 (p=0.011),-0.001849633739595114 (p=0.617),-0.03676189861886789 (p=0.000),-0.0708272375390024 (p=0.000),-0.021492717968512 (p=0.000),-0.04322987277335814 (p=0.000),-0.04666334331095544 (p=0.000),0.013005321674186592 (p=0.000),-0.024939810364119103 (p=0.000),0.07875909545126311 (p=0.000),-0.001880992051458497 (p=0.611),0.0012943797930842116 (p=0.726),0.003196604070010362 (p=0.387),1.0 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"hours.per.week_(33.667, 66.333]",-0.0425941927219369 (p=0.000),0.11492498855312332 (p=0.000),-0.184384594827635 (p=0.000),-0.003724425429613415 (p=0.313),-0.019195126707103636 (p=0.000),0.007842105895319952 (p=0.034),-0.029485035571977347 (p=0.000),0.029537246563273275 (p=0.000),0.0006263347873831327 (p=0.865),-0.044622072764227146 (p=0.000),0.08123422318754293 (p=0.000),-0.05058062146949846 (p=0.000),-0.045394135305538166 (p=0.000),-0.0978137812906312 (p=0.000),-0.03883449745627774 (p=0.000),-0.011012936048417049 (p=0.003),0.003113323619734527 (p=0.399),-0.02045387639982753 (p=0.000),-0.005967926593088181 (p=0.106),0.004095622718153321 (p=0.268),0.03840298334504322 (p=0.000),0.06853794710614947 (p=0.000),0.006693647243497417 (p=0.070),0.04145072556703737 (p=0.000),0.03894531682858408 (p=0.000),-0.013787640970900029 (p=0.000),0.006762552090717167 (p=0.067),-0.0689204166424229 (p=0.000),0.00036060792215276424 (p=0.922),-2.008292773453632e-05 (p=0.996),-0.0017867211900770704 (p=0.629),-0.9205391758391336 (p=0.000),1.0 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"hours.per.week_(66.333, 99]",-0.01648939437597073 (p=0.000),0.018321852442935018 (p=0.000),-0.0038755930925345183 (p=0.294),-0.03303658915970629 (p=0.000),-0.002334704304283963 (p=0.527),0.03424335006708546 (p=0.000),-0.015950531305554724 (p=0.000),0.016272339590922467 (p=0.000),-0.0029268865550152808 (p=0.428),0.006232045519911072 (p=0.092),0.022972919640329985 (p=0.000),-0.02502187219955917 (p=0.000),0.004663377540129514 (p=0.207),-0.013838466082627426 (p=0.000),-0.0081238014393349 (p=0.028),0.0023370442400342706 (p=0.527),-0.0024232939472964613 (p=0.512),0.012806056812547163 (p=0.001),-0.007469732885064794 (p=0.043),-0.005976034577603209 (p=0.106),-0.008993454912714083 (p=0.015),-0.003409778765693707 (p=0.356),0.034975916247573444 (p=0.000),-0.00110622510453892 (p=0.765),0.013607999263431906 (p=0.000),0.0036967284372904008 (p=0.317),0.04315052574807596 (p=0.000),-0.014828535395703902 (p=0.000),0.0036359906389797194 (p=0.325),-0.0030843425277211757 (p=0.404),-0.0031819589021128535 (p=0.389),-0.07220993324782135 (p=0.000),-0.3231583777312405 (p=0.000),1.0000000000000002 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income==>50K,-0.2109805282609951 (p=0.000),0.22209808754712942 (p=0.000),-0.017785168823172482 (p=0.000),-0.1200425373372407 (p=0.000),-0.00825863617457707 (p=0.025),0.12438017387735155 (p=0.000),-0.1490139365851502 (p=0.000),0.14943899584152753 (p=0.000),0.001372272678025416 (p=0.710),-0.12776354883377009 (p=0.000),0.3156778301886484 (p=0.000),-0.22250509706508115 (p=0.000),-0.07003784087284505 (p=0.000),-0.08586392327839751 (p=0.000),-0.0446901713541708 (p=0.000),-0.03454398828995241 (p=0.000),-0.045826166824016114 (p=0.000),-0.059524094983758526 (p=0.000),-0.05576743851107197 (p=0.000),0.003250289246821862 (p=0.379),0.010047780081320361 (p=0.007),0.18048542920208183 (p=0.000),0.13257200580963727 (p=0.000),-0.1311885440128128 (p=0.000),0.17456971065152718 (p=0.000),-0.022306842300559016 (p=0.000),0.15490683578936074 (p=0.000),-0.06353525542940647 (p=0.000),0.0006394973369203127 (p=0.863),-0.0005600264370529323 (p=0.880),-0.0004692941495277504 (p=0.899),-0.18191581241005117 (p=0.000),0.15627300044758924 (p=0.000),0.04169985153691491 (p=0.000),0.9999999999999999 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marital.status_Divorced,-0.11822551135925131 (p=0.000),0.131643107976821 (p=0.000),-0.02850755682179145 (p=0.000),0.013380218218217155 (p=0.000),0.00027363477324751694 (p=0.941),-0.013727651234922441 (p=0.000),0.028635288090403433 (p=0.000),-0.029834357664296585 (p=0.000),0.012166549973236457 (p=0.001),-0.02387900870097966 (p=0.000),-0.03511971105897983 (p=0.000),0.046411718173916955 (p=0.000),-0.003919837608884439 (p=0.289),-0.014549953122160708 (p=0.000),-0.015686344162274195 (p=0.000),-0.016139110071991244 (p=0.000),-0.022621321541101143 (p=0.000),-0.00971854003782486 (p=0.009),-0.004404387455115418 (p=0.233),0.028848932386077678 (p=0.000),0.02015889793788737 (p=0.000),-0.04457773607468213 (p=0.000),-0.01867179214905591 (p=0.000),0.034475919723987336 (p=0.000),-0.0008416975027661231 (p=0.820),-0.013481847723671291 (p=0.000),-0.01601486907037387 (p=0.000),0.015910140808524834 (p=0.000),0.003639114019430177 (p=0.325),-0.004772552776395751 (p=0.196),0.005491232689157304 (p=0.137),-0.052323316948259625 (p=0.000),0.051641251707570716 (p=0.000),-0.005095442545579376 (p=0.168),-0.12699499612587498 (p=0.000),0.9999999999999999 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marital.status_Married-AF-spouse,0.014054801749040294 (p=0.000),-0.01477656101052627 (p=0.000),0.001136150156222667 (p=0.758),0.0019031961148910127 (p=0.606),-0.0003898659719712102 (p=0.916),-0.001862435082977749 (p=0.614),0.005706560598301816 (p=0.122),-0.005683627193536203 (p=0.124),-0.0004887528881180799 (p=0.895),-0.007905504068444182 (p=0.032),-0.0011628979135882606 (p=0.753),0.005581912065012026 (p=0.131),-0.00456639470042206 (p=0.216),-0.0051442188765408094 (p=0.164),-0.003086530644578136 (p=0.404),-0.001914685930240477 (p=0.604),-0.002702551196435773 (p=0.464),-0.0037825730607446355 (p=0.306),-0.0033671026760386546 (p=0.362),0.00809221248692585 (p=0.029),0.0001364763014807448 (p=0.971),0.0006779543980748264 (p=0.854),-0.0030134676706987337 (p=0.415),0.013805265982824855 (p=0.000),-0.00628446088179722 (p=0.089),-0.001053040547044235 (p=0.776),-0.0035678497318499757 (p=0.334),-0.005962172844486664 (p=0.107),-0.008224587199811121 (p=0.026),0.008478338590493056 (p=0.022),-0.0005313467310907008 (p=0.886),0.0033069877698646164 (p=0.371),-0.00731127964054217 (p=0.048),0.010655675023362333 (p=0.004),0.012061398380602356 (p=0.001),-0.010568526334805293 (p=0.004),1.0 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marital.status_Married-civ-spouse,-0.24136176609716353 (p=0.000),0.23221180338919983 (p=0.000),0.036065426190909 (p=0.000),-0.049881406468293844 (p=0.000),-0.005126011609631419 (p=0.165),0.052040161342298184 (p=0.000),-0.08722839590030952 (p=0.000),0.0890744290221579 (p=0.000),-0.016964754352504444 (p=0.000),-0.0012479527811300557 (p=0.736),0.09984678919747336 (p=0.000),-0.09264278875260676 (p=0.000),-0.02959362455936485 (p=0.000),-0.06159527650204552 (p=0.000),-0.037200723709517415 (p=0.000),0.003208709713056142 (p=0.385),0.011539721942135171 (p=0.002),0.027344586352050868 (p=0.000),-0.0031676758447001085 (p=0.391),-0.010644196221842792 (p=0.004),0.01631247416237927 (p=0.000),0.05070743184196844 (p=0.000),0.05288792054148166 (p=0.000),0.002004373016117052 (p=0.587),0.057950185931816806 (p=0.000),-0.005386491464344966 (p=0.145),0.06875231491288951 (p=0.000),-0.07914250597549467 (p=0.000),0.00767238036035141 (p=0.038),-0.006626731291774366 (p=0.073),-0.0061049140945766125 (p=0.098),-0.1878885906186025 (p=0.000),0.15794988650808764 (p=0.000),0.05188747997721651 (p=0.000),0.4446961550463166 (p=0.000),-0.36683661109053106 (p=0.000),-0.02453551735721002 (p=0.000),1.0 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marital.status_Married-spouse-absent,-0.017242646168449692 (p=0.000),0.017511117045682607 (p=0.000),0.00019774686730909244 (p=0.957),0.00433253381094048 (p=0.241),-0.0016722137000223744 (p=0.651),-0.004074709886453474 (p=0.270),0.008521308225330766 (p=0.021),-0.008364221967168734 (p=0.024),-0.0020963596061081982 (p=0.570),0.03998984051631588 (p=0.000),-0.0062288342541068605 (p=0.092),-0.016912438905267408 (p=0.000),0.0049428762930760275 (p=0.181),0.005728258078074095 (p=0.121),0.005814564757930535 (p=0.116),0.03748239238228385 (p=0.000),0.04264045941107189 (p=0.000),0.011165069998010181 (p=0.003),0.0052563405790272575 (p=0.155),-0.00260131789096357 (p=0.481),-0.006416275723673147 (p=0.082),-0.0005479299218373479 (p=0.882),0.004139870948575748 (p=0.263),-0.008057791297271895 (p=0.029),-0.006238189871614896 (p=0.091),0.023078450030594527 (p=0.000),-0.009094489870519239 (p=0.014),-0.011516715081558245 (p=0.002),-0.0035582357203766883 (p=0.336),0.0014129851088435625 (p=0.702),0.011377231434240886 (p=0.002),0.0004989801676100791 (p=0.893),-0.0016197922837880281 (p=0.661),0.0029268031415355953 (p=0.428),-0.04253155700136726 (p=0.000),-0.04533053868936713 (p=0.000),-0.0030318899073848633 (p=0.412),-0.10523777711201 (p=0.000),0.9999999999999999 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marital.status_Never-married,0.41509839115449304 (p=0.000),-0.3823415078069321 (p=0.000),-0.10593219210542502 (p=0.000),0.035326474102221006 (p=0.000),0.0075997924895486605 (p=0.040),-0.03769016368080657 (p=0.000),0.059449080325850445 (p=0.000),-0.05915304734331526 (p=0.000),-0.005727095509244064 (p=0.121),-0.021262316381470414 (p=0.000),-0.042921328200153076 (p=0.000),0.052218169616636674 (p=0.000),0.021521174624376187 (p=0.000),0.07031654223428614 (p=0.000),0.05135658168407854 (p=0.000),-0.014716921174599357 (p=0.000),-0.01316837445482095 (p=0.000),-0.04641280760372058 (p=0.000),-0.007157509707090514 (p=0.053),-0.004803537510539521 (p=0.194),-0.02966317423469328 (p=0.000),0.006717296752325416 (p=0.069),-0.03653329753363255 (p=0.000),-0.049858180891049514 (p=0.000),-0.047130516294002674 (p=0.000),0.008712502560751 (p=0.018),-0.047626408971112456 (p=0.000),0.08486990174143559 (p=0.000),-0.007220704583587728 (p=0.051),0.008157674596897745 (p=0.027),-0.0041425789731962745 (p=0.262),0.19918247114053964 (p=0.000),-0.1713158549693467 (p=0.000),-0.04512140279622618 (p=0.000),-0.31844032507377573 (p=0.000),-0.2777721808183785 (p=0.000),-0.0185785277635156 (p=0.000),-0.6448660814114314 (p=0.000),-0.07968704859087063 (p=0.000),1.0 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marital.status_Separated,-0.0008150272153007768 (p=0.825),0.009097780036733866 (p=0.014),-0.02132403184026151 (p=0.000),0.007966119613390964 (p=0.031),-0.0026436592067548056 (p=0.474),-0.0075827098425264436 (p=0.040),0.018122728516396746 (p=0.000),-0.01961224075976604 (p=0.000),0.01582794152332717 (p=0.000),0.032021959043552255 (p=0.000),-0.04914737050992371 (p=0.000),0.027744603243314656 (p=0.000),0.020695235980791097 (p=0.000),0.010384873385737514 (p=0.005),0.0005672552120808491 (p=0.878),0.009111661946532778 (p=0.014),0.013141940006972752 (p=0.000),0.0033605130208843115 (p=0.363),0.02373410805346314 (p=0.000),-0.003545265589913672 (p=0.337),-0.0013126210375910838 (p=0.722),-0.03633212264434404 (p=0.000),-0.00943198002532434 (p=0.011),0.028384918849985657 (p=0.000),-0.02297252751831113 (p=0.000),-0.002692873442434612 (p=0.466),-0.013519121063746989 (p=0.000),-0.004015106804865301 (p=0.277),-0.012826664755925353 (p=0.001),0.010340375092461525 (p=0.005),0.014005723260137817 (p=0.000),0.0005293339063799162 (p=0.886),0.002310925387329214 (p=0.532),-0.007182447678646122 (p=0.052),-0.07438622703108844 (p=0.000),-0.07166458207566226 (p=0.000),-0.00479321731870617 (p=0.195),-0.16637396186674758 (p=0.000),-0.020559074768692207 (p=0.000),-0.12597995080625998 (p=0.000),0.9999999999999999 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marital.status_Widowed,-0.18790760218128563 (p=0.000),0.08972280432993135 (p=0.000),0.26297887534162634 (p=0.000),0.010188098668853299 (p=0.006),-0.0026007459492221373 (p=0.481),-0.00986185356157991 (p=0.008),0.008471580203410167 (p=0.022),-0.010830707808779582 (p=0.003),0.02589700532625685 (p=0.000),0.05186900085982546 (p=0.000),-0.047929132976236306 (p=0.000),0.015321620206258605 (p=0.000),0.011291147802319813 (p=0.002),0.002074764690715046 (p=0.574),-0.004997421224520307 (p=0.176),0.0296080896631354 (p=0.000),0.006825199357628943 (p=0.065),0.056739003026422395 (p=0.000),0.010495830207173248 (p=0.005),-0.009570757688869136 (p=0.010),-0.0010155856264116847 (p=0.783),-0.03917670069367162 (p=0.000),-0.008930079014642866 (p=0.016),0.035824205154335265 (p=0.000),-0.00921154181018951 (p=0.013),0.0065249258710768825 (p=0.077),-0.017026044994933737 (p=0.000),-0.021572943732001464 (p=0.000),0.006838862536359183 (p=0.064),-0.006275387871955341 (p=0.089),-0.003544545966731899 (p=0.337),0.10379116537054789 (p=0.000),-0.09327594663063554 (p=0.000),-0.013285013642197852 (p=0.000),-0.06438127591306408 (p=0.000),-0.0705012851352979 (p=0.000),-0.004715411310775149 (p=0.202),-0.1636732927887985 (p=0.000),-0.02022534912511151 (p=0.000),-0.12393497842135934 (p=0.000),-0.03197493862400235 (p=0.000),1.0 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
native.country_?,0.0062867958694185645 (p=0.089),-0.004117757147870331 (p=0.265),-0.0059198396579969 (p=0.109),-0.013098212164785282 (p=0.000),-0.001979955678849838 (p=0.592),0.013798397460321086 (p=0.000),-0.009396140046225687 (p=0.011),0.008520952509384798 (p=0.021),0.010120610495167963 (p=0.006),0.010717098364078534 (p=0.004),0.04250859569420642 (p=0.000),-0.04583682621269962 (p=0.000),-0.006531937117768767 (p=0.077),-0.016190814671469742 (p=0.000),0.016674714724035707 (p=0.000),0.006439371591981033 (p=0.081),0.020804444466427933 (p=0.000),0.012345688893391082 (p=0.001),-0.0022354385849915523 (p=0.545),-0.009242171703648305 (p=0.012),-0.010045884695757127 (p=0.007),0.030688781848382637 (p=0.000),0.032296672238526176 (p=0.000),-0.027260356439157866 (p=0.000),0.018777039352164144 (p=0.000),0.0005086580310781855 (p=0.891),0.011748216255641035 (p=0.001),-0.014747314387397554 (p=0.000),-0.0056100272213862774 (p=0.129),0.006236958470836256 (p=0.091),-0.002698473458306896 (p=0.465),-0.010135246611085258 (p=0.006),0.00576875622290359 (p=0.118),0.009823984951859746 (p=0.008),0.003037652021348143 (p=0.411),-0.02061278857962283 (p=0.000),-0.0035898567507812243 (p=0.331),0.0073686266934019674 (p=0.046),0.02780656022600759 (p=0.000),0.00183617372863975 (p=0.619),0.002185264884321837 (p=0.554),-0.00509068789113008 (p=0.168),1.0000000000000002 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
native.country_Cambodia,0.0035826237474274837 (p=0.332),-0.0018555764079985417 (p=0.616),-0.004640057797021786 (p=0.209),0.0017296958044174865 (p=0.640),-0.00035432477542776225 (p=0.924),-0.0016926506542448586 (p=0.647),-0.00720977943080485 (p=0.051),0.00727624362660902 (p=0.049),-0.00044419690296771324 (p=0.904),0.006780649408467833 (p=0.066),-0.006595416852365588 (p=0.074),0.002311300592395488 (p=0.532),-0.004150110276515876 (p=0.261),-0.004675258497082113 (p=0.206),0.008297147087927656 (p=0.025),0.016010688646144623 (p=0.000),-0.002456179596586717 (p=0.506),0.005682052275675949 (p=0.124),-0.003060148833963162 (p=0.408),-0.0044475719058424895 (p=0.229),-0.005087185927706127 (p=0.169),-0.00042798536031878244 (p=0.908),-0.002738752115965634 (p=0.459),0.002373688114227136 (p=0.521),-0.005711553073915851 (p=0.122),0.03120215766970743 (p=0.000),-0.0032425952657676367 (p=0.380),0.002274479557756482 (p=0.538),0.0025584700960504217 (p=0.489),-0.0025114741693868844 (p=0.497),-0.00048290778037404856 (p=0.896),-0.010958890312036743 (p=0.003),0.011904860324979623 (p=0.001),-0.0038471553497374236 (p=0.298),0.007211610318625002 (p=0.051),-0.0096050719719104 (p=0.009),-0.0006424260909604236 (p=0.862),0.005769910574275231 (p=0.118),0.008541617951483955 (p=0.021),0.0020754926795276134 (p=0.574),-0.0043562551546623305 (p=0.238),-0.004285542144886947 (p=0.246),-0.003262596067584793 (p=0.377),0.9999999999999999 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
native.country_Canada,-0.01144229830760363 (p=0.002),0.0045961349980540205 (p=0.214),0.018251102700060418 (p=0.000),-0.002715278683755193 (p=0.462),-0.0008955691045497947 (p=0.808),0.0029624556023396084 (p=0.423),-0.006570722523078425 (p=0.075),0.006695829397083781 (p=0.070),-0.0011227242637897052 (p=0.761),-0.0033793650250017668 (p=0.360),0.010175741742412035 (p=0.006),-0.007592536776037319 (p=0.040),-0.004438687168074682 (p=0.230),0.0017146646781323951 (p=0.643),0.001722564072174766 (p=0.641),-0.004398264242887501 (p=0.234),-0.0011912967121778032 (p=0.747),-0.0014499866336852932 (p=0.695),0.0044135231049266775 (p=0.232),-0.00840630331313725 (p=0.023),0.004667735548163257 (p=0.206),0.005582970725525228 (p=0.131),0.02916069918513672 (p=0.000),-0.00866307070952328 (p=0.019),0.0036010259581180245 (p=0.330),-0.0024189609957564417 (p=0.513),-0.0005378716238687959 (p=0.884),-0.0025355135520009173 (p=0.493),0.001646228600314118 (p=0.656),-0.0014392247086038854 (p=0.697),-0.0012205674523538552 (p=0.741),0.007188170988775678 (p=0.052),-0.006831163477033324 (p=0.064),2.775241947305812e-05 (p=0.994),0.011641838819113008 (p=0.002),-0.0007508452176093846 (p=0.839),-0.0016237559406515397 (p=0.660),0.007441222503311473 (p=0.044),0.006486382497971779 (p=0.079),-0.007201647635226881 (p=0.051),-0.002338570146608663 (p=0.527),-0.0020256845060006782 (p=0.584),-0.008246333424545673 (p=0.026),-0.0014757301236419207 (p=0.690),1.0000000000000002 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
native.country_China,-0.007752600588217948 (p=0.036),0.007461628419670144 (p=0.043),0.001150880262918088 (p=0.755),0.003439517817904459 (p=0.352),-0.000704578443964724 (p=0.849),-0.0033658531574709384 (p=0.362),-0.01154307601326444 (p=0.002),0.011664959289950655 (p=0.002),-0.0008832900898027884 (p=0.811),0.011508601484732454 (p=0.002),0.029891155062928467 (p=0.000),-0.03449008722538437 (p=0.000),0.003267756899907819 (p=0.376),-0.009296799392676254 (p=0.012),-0.005578078404254506 (p=0.131),-0.003460282585292174 (p=0.349),-0.004884138277295802 (p=0.186),0.011540616570113287 (p=0.002),0.004194403840997945 (p=0.256),-0.008844042274652053 (p=0.017),-0.010115921306307795 (p=0.006),0.014976090429210885 (p=0.000),0.046077953271007985 (p=0.000),-0.008480640246759952 (p=0.022),0.02012188060533854 (p=0.000),0.0304976864655796 (p=0.000),-0.0015879529775955678 (p=0.667),-0.01966185714639638 (p=0.000),0.0050875439828593 (p=0.169),-0.004994092101484929 (p=0.176),-0.0009602670658963655 (p=0.795),0.0037550267774938196 (p=0.309),-0.0005665127293443815 (p=0.878),-0.007650107805010617 (p=0.038),0.0029056965367596542 (p=0.432),-0.009768130192287849 (p=0.008),-0.0012774708598482334 (p=0.730),0.019930330790309217 (p=0.000),0.0286665955724701 (p=0.000),-0.018566390772829632 (p=0.000),-0.001324356014802262 (p=0.720),-0.004796033402986087 (p=0.194),-0.00648770568699049 (p=0.079),-0.0011610132919337237 (p=0.753),-0.002934504461259375 (p=0.427),1.0000000000000002 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
native.country_Columbia,-0.003120269270186783 (p=0.398),0.0048428386307390325 (p=0.190),-0.004282415049057333 (p=0.246),0.0030499029127525426 (p=0.409),-0.0006247665987728157 (p=0.866),-0.0029845826922106984 (p=0.419),0.005625417443927806 (p=0.128),-0.005575713684556 (p=0.131),-0.0007832344998102899 (p=0.832),0.013764642997444152 (p=0.000),-0.007314794231452805 (p=0.048),-0.000986845314795298 (p=0.789),0.0056678548248122315 (p=0.125),-0.004371744678989831 (p=0.237),0.0076622105357281945 (p=0.038),0.007011125750130402 (p=0.058),0.010024272515567752 (p=0.007),-0.0008831468846693291 (p=0.811),0.011984679860571107 (p=0.001),0.00838262063726584 (p=0.023),0.0089402171300645 (p=0.016),-0.011110180358460498 (p=0.003),0.0016239135483474146 (p=0.660),0.0015021921759512885 (p=0.684),-0.006845199611162864 (p=0.064),-0.0016875147056826883 (p=0.648),0.005238720716981829 (p=0.156),-0.007294971267596247 (p=0.048),-0.009281956296086424 (p=0.012),0.0025944378274053784 (p=0.483),0.03529639014991539 (p=0.000),0.0017938728165021618 (p=0.627),0.0009548596427010927 (p=0.796),-0.006783534004655341 (p=0.066),-0.020617824869164535 (p=0.000),-0.004313963455644749 (p=0.243),-0.001132764039228433 (p=0.759),-0.011788886655282405 (p=0.001),0.02721551076667615 (p=0.000),0.0009883083919011784 (p=0.789),0.017133129177091127 (p=0.000),0.005042583739154483 (p=0.172),-0.005752804177618352 (p=0.119),-0.0010294983216485958 (p=0.781),-0.002602095461547309 (p=0.481),-0.0020471679539082795 (p=0.580),1.0 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
